color,from,l,a,b,parent
黄,古色之美_青简,82.776,4.136,85.66,黄
黄,先秦色彩_肖世孟,68,22,68,黄
青黄,国标,80.2,-6.2,84.7,黄
柳黄,中国美色_中国国家地理,76.629,-16.275,64.121,黄
芽绿,中国传统色彩图鉴_鸿洋,76.629,-16.275,64.121,黄
石黄,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,80.34,0.96,83.96,黄
石黄,中国色名综览_凑幸卫,76.528184,8.595019207,21.37768195,黄
鹅黄,染作江南春水色_金成熺,77.89,-10.8,20.2,黄
鹅黄,古色之美_青简,89.289,-5.771,60.97,黄
明黄,中国颜色_黄仁达,88.57,-3.148,72.379,黄
明黄,中国美色_中国国家地理,88.57,-3.148,72.379,黄
赤黄,国标,78.2,20.1,24.9,黄
葵黄,国标,71.7,27.8,76.1,黄
葵黄,色谱_perchouli,84.122,3.397,83.467,黄
葵黄,中国色名综览_凑幸卫,82.32881247,10.18265987,79.06977159,黄
土黄,国标,63.8,17.6,66,黄
土黄,色谱_perchouli,69.133,9.379,67.989,黄
土黄,中国色名综览_凑幸卫,66.4996932,6.799616769,38.05888003,黄
藤黄,国标,64.6,14.4,57.4,黄
藤黄,中国色名综览_凑幸卫,87.71765655,-0.372825429,84.76815222,黄
姜黄,国标,55,12.5,40.4,黄
姜黄,色谱_perchouli,78.472,-2.017,73.617,黄
姜黄,DIC中国传统色,58.744,0.42,41.838,黄
姜黄,染色样本纳夫妥类_何进丰,77,22,75,黄
姜黄,中国美色_中国国家地理,54.5,5.794,39.542,黄
浅草绿,国标,73.5,-19.4,71.8,黄
浅草绿,DIC中国传统色,78.998,-21.079,35.596,黄
秋香绿,国标,65.7,-8.7,51.9,黄
金黄,国标,68.9,19.2,52.1,黄
金黄,色谱_perchouli,64.28,40.615,65.026,黄
金黄,乾隆色谱_刘剑,65,19,71,黄
金黄,故宫里的色彩美学_郭浩,53.226,20.758,39.474,黄
凋叶棕,人造丝绸缎色谱_何进丰,67,23,28,黄
鲑鱼红,中国色名综览_凑幸卫,75.55014293,19.78337413,26.71163455,黄
瓜瓤粉,中国色名综览_凑幸卫,83.86228921,14.38175441,26.4142956,黄
玫瑰粉,中国色名综览_凑幸卫,83.85600898,20.70654141,18.00502399,黄
淡橘橙,中国色名综览_凑幸卫,73.55548764,31.46865431,56.19206855,黄
佛手黄,色谱_perchouli,86.874,-2.087,84.228,黄
香蕉黄,色谱_perchouli,78.345,-1.075,78.058,黄
油菜花黄,中国色名综览_凑幸卫,91.06744344,-0.416547711,47.96747822,黄
柚黄,中国色名综览_凑幸卫,83.82859372,-6.637501825,80.78357917,黄
草黄,色谱_perchouli,73.887,-2.55,67.6,黄
金瓜黄,中国色名综览_凑幸卫,87.72517806,-0.400304252,69.41218156,黄
麦秆黄,色谱_perchouli,88.877,-4.809,56.731,黄
麦秆黄,中国色名综览_凑幸卫,91.06690779,0.270079719,33.42048411,黄
茉莉黄,色谱_perchouli,88.899,-4.654,55.831,黄
茉莉黄,中国色名综览_凑幸卫,91.07018638,4.649621876,21.80902028,黄
柠檬黄,色谱_perchouli,85.788,-0.193,76.32,黄
柠檬黄,DIC中国传统色,86.252,-13.184,69.902,黄
柠檬黄,中国色名综览_凑幸卫,87.73498088,7.188486536,51.97988314,黄
素馨黄,中国色名综览_凑幸卫,86.28533753,8.453202825,65.71897516,黄
乳鸭黄,色谱_perchouli,83.476,5.314,83.608,黄
葵扇黄,色谱_perchouli,87.052,-1.713,57.374,黄
葵扇黄,人造丝绸缎色谱_何进丰,72,3,23,黄
葵扇黄,中国色名综览_凑幸卫,91.08190696,5.810484712,38.38816172,黄
大豆黄,色谱_perchouli,84.172,2.258,76.661,黄
金盏黄,色谱_perchouli,81.7,7.089,82.675,黄
杏仁黄,色谱_perchouli,93.482,-1.968,21.499,黄
